Year,Nominal GDP
1960,1998550222
1961,2151772980
1962,2329372972
1963,2505073358
1964,2851091646
1965,3035655794
1966,3198820904
1967,3445739915
1968,3378701147
1969,3902721632
1970,4395995086
1971,5098250287
1972,6318060582
1973,7481173066
1974,7896860615
1975,9483808362
1976,9453756015
1977,11248340431
1978,14647996074
1979,18319334300
1980,21747855640
1981,20670190138
1982,21474754080
1983,20766047764
1984,20106648455
1985,21270013326
1986,28714571852
1987,33920518493
1988,37772897421
1989,39238392678
1990,49305632408
1991,49787502852
1992,55918538121
1993,52417477614
1994,57097656066
1995,69139823232
1996,75790785030
1997,82856648758
1998,90199410116
1999,98893958263
2000,1.00208E+11
2001,1.09347E+11
2002,1.28596E+11
2003,1.64671E+11
2004,1.94372E+11
2005,2.11877E+11
2006,2.32181E+11
2007,2.70079E+11
2008,2.75447E+11
2009,2.36443E+11
2010,2.21986E+11
2011,2.41337E+11
2012,2.27271E+11
2013,2.43302E+11
2014,2.66787E+11
2015,3.02391E+11
2016,3.05733E+11
2017,3.48532E+11
2018,3.95461E+11
2019,4.07125E+11
2020,4.36556E+11
2021,5.31307E+11
2022,5.4857E+11
2023,5.51395E+11
2024,5.7739E+11
