Month,Unemployment Rate %
2022 July,3.7
2022 August,3.8
2022 September,3.8
2022 October,4
2022 November,4.05
2022 December,3.95
2023 January,3.85
2023 February,3.65
2023 March,3.65
2023 April,3.65
2023 May,3.7
2023 June,3.85
2023 July,3.9
2023 August,3.9
2023 September,4.05
2023 October,4
2023 November,3.95
2023 December,3.95
2024 January,3.9
2024 February,3.65
2024 March,3.75
2024 April,3.95
2024 May,4
2024 June,4
2024 July,4.1
2024 August,3.65
2024 September,3.7
2024 October,3.7
2024 November,3.7
2024 December,3.9
2025 January,3.95
2025 February,3.9
2025 March,4
2025 April,3.55
2025 May,3.5
2025 June,3.5
